Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
REM STAR,090990,9489481,REM STAR,UBXQ6,Petropavlovsk-Kamchatskiy,Russia,KM* AUT1 fishing vessel,2018-05-14 Переоборудовано из судна снабженца в рыболовное,Fishing,19/06/2009,Norway,120,,,3234 MK-1969,1048 MK-1969,1211.000 t.,4542 t.,76.60 m.,76.60 m.,69.44 m.,16.00 m.,7.00 m.,5.50 m.,14.0,Diesel,Built ME: 2009 Country Construction: Italy The company has built ME: The number and power of ME: 2*2600 Mark ME:,,2 - Controllable pitch propeller,4,2* 1440 2* 260,,,-20,R717,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,5* 1800,,,2,6,,,,Р 2 - 2.3*2.1Р 2 - 0.8*0.8,,,,Diesel oil,613 m3,,890,Cat3,40.0,"FISHING COMPANY ""LUNTOS"" CO., LTD  Address: Russia, 683001 Petropavlovsk-Kamchatskiy, a/ya 157 IMO: 1854874 Email: luntos@inbox.ru Company Website:","FISHING COMPANY ""LUNTOS"" CO., LTD  Address: Russia, 683001 Petropavlovsk-Kamchatskiy, a/ya 157 IMO: 1854874 Email: luntos@inbox.ru Company Website:","FISHING COMPANY ""LUNTOS"" CO., LTD  Address: Russia, 683001 Petropavlovsk-Kamchatskiy, a/ya 157 IMO: 1854874 Email: luntos@inbox.ru Company Website:",,
TOPAZ ZEYA,160962,9817597,TOPAZ ZEYA,UHPZ,Astrakhan,Russia,KM* R2 AUT1,,General cargo,22/05/2018,Vietnam,876,,,3183 MK-1969,955 MK-1969,2969.000 t.,5260 t.,123.00 m.,123.00 m.,118.08 m.,16.70 m.,5.60 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME:,2* 1200,2 - Swingning propeller unit,5,3* 939,,,,,"Automatic identification system with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,276,Diesel oil,4694 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
PORTOVYY,020803,9246621,PORTOVYY,UBFV4,Bolshoy port of St.-Petersburg,Russia,KM* AUT1-ICS OMBO ECO PMS TMS IWS gas carrier type 2G,,Liquefied gas carrier,26/09/2003,Korea,2213,,,94485 MK-1969,28346 MK-1969,77777.000 t.,109088 t.,277.00 m.,277.00 m.,266.00 m.,45.25 m.,26.00 m.,12.10 m.,19.0,Steam Turb,Built ME: 2001 Country Construction: Japan The company has built ME: The number and power of ME: 1*26496 Mark ME:,,1 - Fixed pitched solid propeller,5,3* 10540,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,,,,1,6,,,,,,4*12.0,4846,"Gas(methane), Heavy oil, Diesel oil",52411 m3,,4400,Cat3,102.0,"""GASPROM"", JOINT-STOCK COMPANY  Address: BOX 1255, St.Petersburg, 190000 IMO: Email: gazprom@gazprom.ru Company Website:","SCF Management Services (St. Petersburg) Ltd  Address: Russia, 191186 St.Petersburg, nab. r. Moyki, d.Z, lit. A IMO: 5334305 Email: Tech@FleetR.scf-group.com; scf-stpetersburg@scf-group.com Company Website: www.sovcomflot.ru","SCF Management Services (St. Petersburg) Ltd  Address: Russia, 191186 St.Petersburg, nab. r. Moyki, d.Z, lit. A IMO: 5334305 Email: Tech@FleetR.scf-group.com; scf-stpetersburg@scf-group.com Company Website: www.sovcomflot.ru","SCF Management Services (St. Petersburg) Ltd  Address: Russia, 191186 St.Petersburg, nab. r. Moyki, d.Z, lit. A IMO: 5334305 Email: Tech@FleetR.scf-group.com; scf-stpetersburg@scf-group.com Company Website: www.sovcomflot.ru","SCF Management Services (St. Petersburg) Ltd  Address: Russia, 191186 St.Petersburg, nab. r. Moyki, d.Z, lit. A IMO: 5334305 Email: Tech@FleetR.scf-group.com; scf-stpetersburg@scf-group.com Company Website: www.sovcomflot.ru"
OSTROVNOY-7,907012,9009516,FORWARD,UBYQ3,Kholmsk,Russia,(KM)* fishing vessel,,Fishing,15/11/1990,Japan,565,,,494 MK-1969,17 MK-1969,207.000 t.,760 t.,48.11 m.,48.11 m.,41.20 m.,8.00 m.,3.48 m.,3.15 m.,11.0,Diesel,Built ME: 1990 Country Construction: Japan The company has built ME: The number and power of ME: 1*735 Mark ME: 6M28BFT,,1 - Controllable pitch propeller,4,2* 264,,,-5,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,3* 447,,,1,5,,,,Р 2 - 0.9*0.9Р 1 - 1.6*1.6,,,,Diesel oil,,,209,Cat1,26.0,"Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:","Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:","Fish Procession Plant ""Ostrovnoy"" LTD  Address: Russia, 694520 Sakhalinskaya obl., Yuzhno-Kurilskiy r-on, s. Malokurilskoe, ul. Sovetskaya, d. 8 IMO: Email: sbm@ostrovnoy.ru; Company Website:",,
TOPAZ VOLGA,160977,9816971,TOPAZ VOLGA,UIAN,Astrakhan,Russia,KM* R2 AUT1,,General cargo,28/06/2018,Romania,875,,,3183 MK-1969,955 MK-1969,2946.000 t.,5289 t.,123.00 m.,123.00 m.,118.10 m.,16.50 m.,5.60 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 939,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,276,Diesel oil,4695 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
VLADIMIR LIMANOV,180491,9860867,,UBFV2,Vladivostok,Russia,KM(*) IA Super (hull) Ice3 (power) AUT1 REF BWM(T) fishing vessel,,Fishing,15/12/2020,Turkey,1090,,,9200 MK-1969,2762 MK-1969,6368.000 t.,13528 t.,108.20 m.,108.20 m.,99.80 m.,21.00 m.,11.55 m.,8.35 m.,16.0,Diesel-Ele,Built ME: 2019 Country Construction: Germany The company has built ME: MAN Energy Solutions SE The number and power of ME: 1*8120 Mark ME:,,1 - Controllable pitch propeller,4,1* 1880 1* 1460 1* 4000,,QUICK FREEZING,-28,R744 R717,"AIS Search and Rescue transmitter with GLONASS Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Sound reception system Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",,4* 5620,,,2,5,,,,Р 1 - 3.0*4.0Р 1 - 3.3*4.2,2*5.0 2*5.0,1*15.0 1*8.0,1762,"Diesel oil, Heavy oil",822 m3,ПТ,1531,Cat3,52.0,"VOSTOKRYBPROM CO LTD  Address: Russia, 690091 Vladivostok, ul. Pushkinskaya, d. 87 IMO: 1854980 Email: turnif@russianfishery.ru;sea@russianfishery.ru Company Website: SBM@vrp.vl.ru","VOSTOKRYBPROM CO LTD  Address: Russia, 690091 Vladivostok, ul. Pushkinskaya, d. 87 IMO: 1854980 Email: turnif@russianfishery.ru;sea@russianfishery.ru Company Website: SBM@vrp.vl.ru","VOSTOKRYBPROM CO LTD  Address: Russia, 690091 Vladivostok, ul. Pushkinskaya, d. 87 IMO: 1854980 Email: turnif@russianfishery.ru;sea@russianfishery.ru Company Website: SBM@vrp.vl.ru",,
AKOMENA,081402,9662485,STAR WENZHOU,9HA4899,Valletta,Malta,KM* Ice1,,General cargo,29/06/2012,China,,,,7450 MK-1969,3776 MK-1969,10814.000 t.,14537 t.,134.20 m.,134.20 m.,126.38 m.,18.60 m.,10.10 m.,7.40 m.,12.0,Diesel,Built ME: 2010 Country Construction: China The company has built ME: The number and power of ME: 1*2970 Mark ME: 9M25 MAK,,,4,3* 259,,,,,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",3*13413,,,,2,,,,,,,,59,Diesel oil,4951 m3,,1340,Cat2,58.0,"BEMARIS MARINE COMPANY LTD.  Address: 65, Birkirkara Hill, St. Julians's, STJ 1143, Malta IMO: 6173717 Email: operation@menkent.org Company Website:","MENKENT LTD  Address: Ukraine, 65015 Odessa, ul. Akademika Vilyamsa, d. 4, of. 11 IMO: 1993071 Email: operation@menkent.org; menkent@ukr.net Company Website:",,"MENKENT LTD  Address: Ukraine, 65015 Odessa, ul. Akademika Vilyamsa, d. 4, of. 11 IMO: 1993071 Email: operation@menkent.org; menkent@ukr.net Company Website:","MENKENT LTD  Address: Ukraine, 65015 Odessa, ul. Akademika Vilyamsa, d. 4, of. 11 IMO: 1993071 Email: operation@menkent.org; menkent@ukr.net Company Website:"
IDEL 1,180519,9873096,,UBXR8,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice2 (Hull; power) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack) NAABSA1,,General cargo,31/05/2019,Russia,6,,,6305 MK-1969,3455 MK-1969,8095.000 t.,10812 t.,140.88 m.,140.88 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: Country Construction: Finland The company has built ME: The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Swingning propeller unit,4,,,,,,"Automatic identification system Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",2*11292,,,,1,5,,,,,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,770,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","Общество с ограниченной ответственностью ""Судоходная компания Идель""  Address: Russia, 190068 St.Petersburg, nab. reki Fontanki, d. 161, pom. 66 IMO: 6102113 Email: Company Website:","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com","INOK TM LTD  Address: Russia, 190900 St.Petersburg, ul. Sofiyskaya, d. 56, boks 1456 IMO: 4032143 Email: shipman@inok-tm.com; tanker@inok-tm.com; drycargo@inok-tm.com Company Website: www.inok-tm.com"
TOPAZ OB,160981,9812274,TOPAZ OB,UCCS,Astrakhan,Russia,KM* R2 AUT1,,General cargo,31/07/2018,Romania,868,,,3183 MK-1969,955 MK-1969,2936.000 t.,4655 t.,123.00 m.,123.00 m.,118.07 m.,16.50 m.,5.60 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 939,,,,,"Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station",,,,,1,3,,,,,,,276,Diesel oil,4695 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
NORD TRAL,990683,9219771,NORDOYTRAL,UBHR5,Murmansk,Russia,KM* Ice3 AUT1 fishing vessel,,Fishing,07/06/2001,Norway,46,,,1476 MK-1969,485 MK-1969,691.000 t.,2369 t.,56.80 m.,56.80 m.,49.20 m.,12.96 m.,7.70 m.,5.73 m.,14.0,Diesel,Built ME: 2000 Country Construction: The Netherlands The company has built ME: The number and power of ME: 1*3720 Mark ME:,,1 - Controllable pitch propeller,4,1* 1536 1* 1800,,,-28,R717,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 693,,,2,5,,,,,,,,Diesel oil,,,550,Cat2,,"FISHING COLLECTIVE ""BELOMORSKIY RYBAK""  Address: Russia, 183001, Murmansk, ul. Tralovaya, d.2, pom.6 IMO: 1563542 Email: br511@mail.ru Company Website:","FISHING COLLECTIVE ""BELOMORSKIY RYBAK""  Address: Russia, 183001, Murmansk, ul. Tralovaya, d.2, pom.6 IMO: 1563542 Email: br511@mail.ru Company Website:",,,
