,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
115,B.B.2,185225,,,,Novorossiysk,Russia,KM* R3 tug,,Tug,22/03/2010,United Arab Emirates,502933,,,17,5,6.000 t.,0 t.,12.14 m.,-,10.44 m.,3.84 m.,2.00 m.,1.48 m.,0.0,Diesel,Built ME: 2008 Country Construction: United States of America The company has built ME: The number and power of ME: 1*123 Mark ME: 3056 TA/CBuilt ME: 2009 Country Construction: United States of America The company has built ME: The number and power of ME: 1*123 Mark ME:,,2 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,3,,0 m3,,0,,12.5,"SMIT LAMNALCO SINGAPORE PTE LTD  Address: 23, Gul Road, Singapore 629356, Singapore IMO: 1533866 Email: company.singapore@smit.com Company Website:",,"LAMNAL Co., LTD  Address: Russia, 353900 Krasnodarskiy kray, Novorossiysk, ul. Mira, d. 24, etazh 3 IMO: Email: info@smitlamnalco.ru Company Website:",,
116,B.B.3,185228,,,,Novorossiysk,Russia,KM* R3 tug,,Tug,08/05/2010,United Arab Emirates,502934,,,17,5,6.000 t.,0 t.,12.14 m.,-,10.44 m.,3.84 m.,2.00 m.,1.48 m.,0.0,Diesel,Built ME: 2009 Country Construction: United States of America The company has built ME: The number and power of ME: 2*123 Mark ME: 3056 TA/C,,2 - Fixed pitched solid propeller,4,,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,0,Diesel oil,0 m3,,0,,12.5,"LAMNALCO LIMITED  Address: 5, Thermistoki pervil Elenion Bldng, Nicosia. Cyprus, 1066 IMO: 1513466 Email: yioula.papedemekrio@abacus.com.cy Company Website:",,"LAMNAL Co., LTD  Address: Russia, 353900 Krasnodarskiy kray, Novorossiysk, ul. Mira, d. 24, etazh 3 IMO: Email: info@smitlamnalco.ru Company Website:",,
117,ЛЕОН,002001,9021887,LEON,UBTO7,Novorossiysk,Russia,KM* R3-RSN tug,,Tug,07/06/2006,Greece,,,,80 MK-1969,24 MK-1969,37.000 t.,139 t.,23.05 m.,-,20.06 m.,6.80 m.,2.80 m.,2.15 m.,10.0,Diesel,Built ME: 205 Country Construction: United States of America The company has built ME: The number and power of ME: 2*540 Mark ME: 3412 DITA,,2 - Fixed pitched solid propeller,4,1* 64 1* 48,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,31,Diesel oil,3 m3,,110,Cat2,16.0,"CRANESHIP, LLC  Address: Russia, 353500 Krasnodarskiy kr., Temryuk, ul. Karla Libknekhta, d. 4 IMO: 5381789 Email: craneship@craneship.ru;tech@craneship.ru Company Website:","CRANESHIP, LLC  Address: Russia, 353500 Krasnodarskiy kr., Temryuk, ul. Karla Libknekhta, d. 4 IMO: 5381789 Email: craneship@craneship.ru;tech@craneship.ru Company Website:",,,
118,БОТИК,185026,,БУЛАТ-12,---,Temryuk,Russia,KM(*) L3 R3 tug,,Tug,30/12/1987,Russia,12,,,48 MK-1969,14,9.000 t.,78 t.,16.68 m.,16.68 m.,15.64 m.,5.00 m.,2.45 m.,1.70 m.,10.0,Diesel,Built ME: 2016 Country Construction: Russia The company has built ME: REMDISEL LTD The number and power of ME: 2*176 Mark ME: WD10-C240-15,,2 - Fixed pitched solid propeller,4,1* 16 1* 20,,,,,,,,,,1,4,0,0,0,,,,6,Diesel oil,0 m3,,75,Cat1,16.0,"ROSMORPORT, FILIAL BRANCH OF THE FEDERAL STATE UNITARY ENTERPRISE  Address: Russia, 353500 Krasnodarskiy kray, Temryuk, ul.Gertsena, 46 IMO: Email: Office@tmn.rosmorport.ru Company Website:",,,,
119,ВЕГА,185200,,,,Tuapse,Russia,KM* R3 oil recovery ship(>60°C),,Oil recovery ship,26/02/2004,,,,,49,0,116.000 t.,0 t.,15.00 m.,-,0.00 m.,6.00 m.,2.00 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""TUAPSE COMMERCIAL SEA PORT"", JOINT-STOCK COMPANY  Address: Russia, 352800 Krasnodarskiy kr., Tuapse, Morskoy b-r, d. 2 IMO: 1683638 Email: port.tuapse@tmtp.ru Company Website:",,,,
120,B.B.4,185229,,,,Novorossiysk,Russia,KM* R3 tug,,Tug,08/05/2010,United Arab Emirates,502935,,,17,0,6.000 t.,0 t.,12.14 m.,-,10.44 m.,3.84 m.,2.00 m.,1.48 m.,8.6,Diesel,Built ME: 2009 Country Construction: United States of America The company has built ME: The number and power of ME: 2*123 Mark ME: 3056 TA/C,,2 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,0,Diesel oil,0 m3,,0,,12.5,"SMIT LAMNALCO SINGAPORE PTE LTD  Address: 23, Gul Road, Singapore 629356, Singapore IMO: 1533866 Email: company.singapore@smit.com Company Website:",,"LAMNAL Co., LTD  Address: Russia, 353900 Krasnodarskiy kray, Novorossiysk, ul. Mira, d. 24, etazh 3 IMO: Email: info@smitlamnalco.ru Company Website:",,
121,ВОСТОК,180086,,,,Novorossiysk,Russia,KM(*) L3 R3 tug,,Tug,30/05/1965,,,,,35,0,7.000 t.,0 t.,13.00 m.,13.90 m.,13.55 m.,3.00 m.,2.00 m.,0.00 m.,0.0,,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"NSF LTD  Address: Russia, 353915 Krasnodarskiy kr., Novorossiysk, ul. Prokhorova, d. 1-A IMO: Email: of@ntflot.ru Company Website:",,,,
122,ВОДОЛАЗ-32,185009,,,---,Novorossiysk,Russia,KM* R3,,Diving vessel,28/10/1986,USSR,1259,,,33,10,7.000 t.,0 t.,21.00 m.,-,19.00 m.,3.98 m.,2.15 m.,1.05 m.,10.0,Diesel,"Built ME: 1986 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME:",,1 - Fixed pitched solid propeller,4,,,,,,,,,,,2,7,0,0,0,,,,0,,0 m3,,0,,0.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Azovo-Chernomorskiy filial FGBU ""Morskaya spasatelnaya sluzhba""  Address: Russia, 353901 Novorossiysk, ulitsa Portovaya, d.7 IMO: 1744034 Email: acf_otef@morspas.com; info_azh@morspas.com; ing_azh@morspas.com Company Website:",,,
123,ВОДОЛАЗ-14,185077,,,,Novorossiysk,Russia,KM(*) R3,,Diving vessel,01/06/1960,,,,,88,0,24.000 t.,0 t.,28.58 m.,28.58 m.,27.00 m.,5.40 m.,2.80 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"BALTIC SALVAGE & TOWAGE CO  Address: Russia, 198096 St.Petersburg, Elevatornaya ploshchadka 1 IMO: 1745580 Email: baltic@buksir.ru Company Website: www.buksir.ru",,"Azovo-Chernomorskiy filial FGBU ""Morskaya spasatelnaya sluzhba""  Address: Russia, 353901 Novorossiysk, ulitsa Portovaya, d.7 IMO: 1744034 Email: acf_otef@morspas.com; info_azh@morspas.com; ing_azh@morspas.com Company Website:",,
124,ВОСТОК-167,185078,,,---,Novorossiysk,Russia,KM(*) R3,,General cargo,28/03/1991,,,,,16,0,21.000 t.,0 t.,16.00 m.,16.00 m.,0.00 m.,4.00 m.,1.00 m.,0.00 m.,0.0,Diesel,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""NOVOROSSIYSK MARINE TRADING PORT"", JOINT-STOCK COMPANY  Address: Russia, 353901 Krasnodarskiy kr., Novorossiysk, ul. Mira, d. 2 IMO: Email: mail@ncsp.com Company Website:","Joint Stock Company ""Fleet of Novorossiysk Commercial Sea Port""  Address: Russia, 353901 Krasnodarskiy kray, Novorossiysk, ul. Portovaya, d. 14 IMO: 4026048 Email: info@flotnmtp.ru Company Website:","TRANSCARGO LLC  Address: Russia, 353924 Novorossiysk, pr.Lenina, d.95B, korp.2, of.11 IMO: Email: operation@transcargo-group.com; vcg@transcargo-group.com Company Website: www.transcargo-group.com",,
125,РК-27,185030,,ДЕПУТАТ УСОВ,---,Novorossiysk,Russia,KM(*) L4 [1] R3 passenger ship,,Passenger unberthed,12/05/1970,,,,,60,0,12.000 t.,0 t.,20.86 m.,20.86 m.,19.00 m.,5.00 m.,2.00 m.,0.00 m.,0.0,Diesel,Built ME: Country Construction: Sweden The company has built ME: The number and power of ME: 1*313 Mark ME:,,1 - Fixed pitched solid propeller,4,1* 2,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,0,0,47,0,,,,0,Diesel oil,0 m3,,0,Cat1,12.0,"SUDOVOE TEKHNICHESKOE OBSLUZHIVANIE, LTD  Address: Russia, 353900 Novorossiysk, a/ya 49 IMO: Email: novosts@mail.ru; ctosts@yandex.ru Company Website:",,,,
126,ДООБ,185043,,,---,Novorossiysk,Russia,KM(*) R3,,Mooring,23/08/1991,,,,,27,0,6.000 t.,0 t.,13.70 m.,-,0.00 m.,4.65 m.,2.00 m.,0.00 m.,0.0,Diesel,Built ME: 0 Country Construction: Sweden The company has built ME: The number and power of ME: 1*153 Mark ME:,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""NOVOROSSIYSK MARINE TRADING PORT"", JOINT-STOCK COMPANY  Address: Russia, 353901 Krasnodarskiy kr., Novorossiysk, ul. Mira, d. 2 IMO: Email: mail@ncsp.com Company Website:","Joint Stock Company ""Fleet of Novorossiysk Commercial Sea Port""  Address: Russia, 353901 Krasnodarskiy kray, Novorossiysk, ul. Portovaya, d. 14 IMO: 4026048 Email: info@flotnmtp.ru Company Website:","TRANSCARGO LLC  Address: Russia, 353924 Novorossiysk, pr.Lenina, d.95B, korp.2, of.11 IMO: Email: operation@transcargo-group.com; vcg@transcargo-group.com Company Website: www.transcargo-group.com",,
127,MRS-150-352,172077,,,UCSM,Nevelsk,Russia,KM(*) R2 fishing vessel,,Fishing,30/10/1992,Russia,,,,61,16,23.000 t.,104 t.,21.94 m.,-,19.20 m.,6.00 m.,2.64 m.,1.74 m.,9.0,Diesel,Built ME: 2019 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD10C190-15,,,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Public address system Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,6,Diesel oil,0 m3,,58,Cat1,16.0,"""RYUBAK"", JSC  Address: Russia, 694140 Sakhalinskaya oblast, Makarov, ul. 50 let Oktyabrya, 1 IMO: Email: oooribak@mail.ru; ribak.07@bk.ru Company Website:","""RYUBAK"", JSC  Address: Russia, 694140 Sakhalinskaya oblast, Makarov, ul. 50 let Oktyabrya, 1 IMO: Email: oooribak@mail.ru; ribak.07@bk.ru Company Website:",,,
128,MRS-150-287,172180,,,UISA,Okhotsk,Russia,KM(*) L4 R2 fishing vessel,,Fishing,31/07/1986,USSR,287,,,61 MK-1969,18 MK-1969,24.000 t.,104 t.,21.94 m.,21.94 m.,19.20 m.,6.00 m.,2.65 m.,1.74 m.,0.0,Diesel,"Built ME: 2005 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18",,1 - Fixed pitched solid propeller,4,1* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"VOSTOKINVEST Co., Ltd  Address: Russia, 690077 Vladivostok, ul.50 let VLKSM, d.26 A IMO: Email: vostokinvest94@mail.ru Company Website:","VOSTOKINVEST Co., Ltd  Address: Russia, 690077 Vladivostok, ul.50 let VLKSM, d.26 A IMO: Email: vostokinvest94@mail.ru Company Website:",,,
129,MRS-150-296,172182,,,,Nevelsk,Russia,KM(*) R2 fishing vessel,,Fishing,30/10/1986,USSR,,,,61,18,23.000 t.,104 t.,22.00 m.,22.00 m.,19.20 m.,6.00 m.,2.65 m.,1.12 m.,9.0,Diesel,"Built ME: 1986 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6N",,1 - Fixed pitched solid propeller,4,1* 30,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"OOO ""Vladimirovo""  Address: Russia, 693005 Sakhalinskaya oblasty, Yuzhno-Sakhalinsk, Kholmskoe shosse, d. 30, of. 12 IMO: Email: 151617vl@mail.ru; wakk2012@rambler.ru Company Website:","OOO ""Vladimirovo""  Address: Russia, 693005 Sakhalinskaya oblasty, Yuzhno-Sakhalinsk, Kholmskoe shosse, d. 30, of. 12 IMO: Email: 151617vl@mail.ru; wakk2012@rambler.ru Company Website:",,,
130,MRS-150-293,172183,,,,Nevelsk,Russia,KM(*) R2 fishing vessel,,Fishing,10/10/1986,USSR,293,,,61,18,23.000 t.,104 t.,22.00 m.,-,19.20 m.,6.00 m.,2.64 m.,1.69 m.,9.0,Diesel,"Built ME: 2009 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S1",,1 - Fixed pitched solid propeller,4,1* 25,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"""Nevod"" LLC  Address: Russia, 690039 Primorskiy kray, Vladivostok, ul. Eniseyskaya, d. 23D, office 700 IMO: Email: nevodsea@gmail.com Company Website:","""Nevod"" LLC  Address: Russia, 690039 Primorskiy kray, Vladivostok, ul. Eniseyskaya, d. 23D, office 700 IMO: Email: nevodsea@gmail.com Company Website:",,,
131,MRS-150-362,172237,,,,Kholmsk,Russia,KM(*) L4 R2 fishing vessel,,Fishing,29/07/1994,Russia,,,,61,18,22.000 t.,104 t.,21.94 m.,-,19.20 m.,6.00 m.,2.65 m.,1.74 m.,9.0,Diesel,"Built ME: 1993 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18",,1 - Fixed pitched solid propeller,4,1* 25,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,58,Cat1,16.0,"Общество с ограниченной ответственностью ""ЗЮЙД-ВЕСТ""  Address: Russia, 693012, Sakhalinskaya.obl., Yuzhno-Sakhalink, ul. Kholmskoe sh., d. 69A, of. 10 IMO: Email: zuid-west1@yandex.ru; zuidvest@rambler.ru Company Website:","Общество с ограниченной ответственностью ""ЗЮЙД-ВЕСТ""  Address: Russia, 693012, Sakhalinskaya.obl., Yuzhno-Sakhalink, ul. Kholmskoe sh., d. 69A, of. 10 IMO: Email: zuid-west1@yandex.ru; zuidvest@rambler.ru Company Website:",,,
132,МРС-225-371,174066,,,UHSK,Petropavlovsk-Kamchatskiy,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,26/09/2000,,,,,64,0,22.000 t.,0 t.,23.14 m.,23.14 m.,0.00 m.,6.00 m.,2.65 m.,0.00 m.,10.0,Diesel,,,1 - Fixed pitched solid propeller,0,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:","RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:",,,
133,MRS-150-368,174088,,,UDJI,Kholmsk,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,01/06/2002,USSR,,,,64,19,33.000 t.,114 t.,23.14 m.,23.14 m.,20.40 m.,6.00 m.,2.65 m.,1.74 m.,9.0,Diesel,Built ME: Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:","TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:",,,
134,MRS-150-369,174089,,,UFZI,Kholmsk,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,01/06/2002,Russia,,,,66,18,33.000 t.,114 t.,23.14 m.,23.14 m.,20.40 m.,6.00 m.,2.65 m.,1.69 m.,9.0,Diesel,"Built ME: 2001 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S2",,1 - Fixed pitched solid propeller,4,1* 25,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"PORONAYSKIY ZVEROSOVKHOZ CO LTD  Address: Russia 693000 Yuzhno-Sakhalinsk, Kommunisticheskiy prospekt, 49, of.408 IMO: Email: Poronaysk2016@mail.ru Company Website:","PORONAYSKIY ZVEROSOVKHOZ CO LTD  Address: Russia 693000 Yuzhno-Sakhalinsk, Kommunisticheskiy prospekt, 49, of.408 IMO: Email: Poronaysk2016@mail.ru Company Website:",,,
135,MRS-150-370,174093,,,UFWA,Nevelsk,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,15/05/2003,Russia,,,,64,19,33.000 t.,114 t.,23.14 m.,23.14 m.,20.40 m.,6.00 m.,2.66 m.,1.74 m.,9.0,Diesel,Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 25,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"Сельскохозяйственный производственный кооператив ""Рыболовецкий колхоз ""Дружба""  Address: Russia, 694220 Sakhalinskaya oblast, Poronaysk, ulitsa Oktyabrskaya 2 IMO: 1529431 Email: korvet62@mail.ru Company Website:","Сельскохозяйственный производственный кооператив ""Рыболовецкий колхоз ""Дружба""  Address: Russia, 694220 Sakhalinskaya oblast, Poronaysk, ulitsa Oktyabrskaya 2 IMO: 1529431 Email: korvet62@mail.ru Company Website:",,,
136,MRS-150-372,174094,,,UCSU,Kholmsk,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,01/09/2003,Russia,,,,64,19,33.000 t.,114 t.,23.14 m.,-,20.40 m.,6.00 m.,2.66 m.,1.70 m.,9.0,Diesel,"Built ME: 2002 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S2-011",,1 - Fixed pitched solid propeller,4,1* 25,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon with GLONASS Depth sounder Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,5,Diesel oil,0 m3,,0,Cat1,16.0,"PORONAYSKIY ZVEROSOVKHOZ CO LTD  Address: Russia 693000 Yuzhno-Sakhalinsk, Kommunisticheskiy prospekt, 49, of.408 IMO: Email: Poronaysk2016@mail.ru Company Website:","PORONAYSKIY ZVEROSOVKHOZ CO LTD  Address: Russia 693000 Yuzhno-Sakhalinsk, Kommunisticheskiy prospekt, 49, of.408 IMO: Email: Poronaysk2016@mail.ru Company Website:",,,
